title,director,country,date,,tr,trim_title,trim_director,trim_country,trim_date
LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,,unknown,United States,12-26-2022,,LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,Unknown,United States,12-26-2022
Man vs Wild with Sunny Leone,,unknown,United States,12-27-2022,,Man vs Wild with Sunny Leone,Unknown,United States,12-27-2022
Mars,,Everardo Gout,United States,12-28-2022,,Mars,Everardo Gout,United States,12-28-2022
Miss Hokusai,,Keiichi Hara,United States,12-29-2022,,Miss Hokusai,Keiichi Hara,United States,12-29-2022
Mohawk,,Ted Geoghegan,United States,12-30-2022,,Mohawk,Ted Geoghegan,United States,12-30-2022
Once Upon a Time in the West,,Sergio Leone,United States,12-31-2022,,Once Upon a Time in the West,Sergio Leone,United States,12-31-2022
Only God Forgives,,Nicolas Winding Refn,United States,1-1-2023,,Only God Forgives,Nicolas Winding Refn,United States,1-1-2023
Pacific Heat,,unknown,United States,1-2-2023,,Pacific Heat,Unknown,United States,1-2-2023
Paris Is Burning,,Jennie Livingston,United States,1-3-2023,,Paris Is Burning,Jennie Livingston,United States,1-3-2023
Pee-wee's Playhouse,,unknown,United States,1-4-2023,,Pee-wee's Playhouse,Unknown,United States,1-4-2023
Philadelphia,,Jonathan Demme,United States,1-5-2023,,Philadelphia,Jonathan Demme,United States,1-5-2023
Raging Bull,,Martin Scorsese,United States,1-6-2023,,Raging Bull,Martin Scorsese,United States,1-6-2023
Red Dawn,,John Milius,United States,1-7-2023,,Red Dawn,John Milius,United States,1-7-2023
Romeo Ranjha,,Navaniat Singh,United States,1-8-2023,,Romeo Ranjha,Navaniat Singh,United States,1-8-2023
Rosemary's Baby,,Roman Polanski,United States,1-9-2023,,Rosemary's Baby,Roman Polanski,United States,1-9-2023
Scandal in Sorrento,,Dino Risi,United States,1-10-2023,,Scandal in Sorrento,Dino Risi,United States,1-10-2023
Searching for Bobby Fischer,,Steven Zaillian,United States,1-11-2023,,Searching for Bobby Fischer,Steven Zaillian,United States,1-11-2023
Soul Surfer,,Sean McNamara,United States,1-12-2023,,Soul Surfer,Sean Mcnamara,United States,1-12-2023
Strictly Ballroom,,Baz Luhrmann,United States,1-13-2023,,Strictly Ballroom,Baz Luhrmann,United States,1-13-2023
Sweeney Todd: The Demon Barber of Fleet Street,,Tim Burton,United States,1-14-2023,,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,United States,1-14-2023
The Crying Game,,Neil Jordan,United States,1-15-2023,,The Crying Game,Neil Jordan,United States,1-15-2023
The Lamb,,Timothy Reckart,United States,1-16-2023,,The Lamb,Timothy Reckart,United States,1-16-2023
The Longest Yard,,Robert Aldrich,United States,1-17-2023,,The Longest Yard,Robert Aldrich,United States,1-17-2023
The Longshots,,Fred Durst,United States,1-18-2023,,The Longshots,Fred Durst,United States,1-18-2023
The Space Between Us,,Peter Chelsom,United States,1-19-2023,,The Space Between Us,Peter Chelsom,United States,1-19-2023
The Twilight Zone (Original Series),,unknown,United States,1-20-2023,,The Twilight Zone (Original Series),Unknown,United States,1-20-2023
"To Wong Foo, Thanks for Everything! Julie Newmar",,Beeban Kidron,United States,1-21-2023,,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,United States,1-21-2023
Tremors 2: Aftershocks,,S.S. Wilson,United States,1-22-2023,,Tremors 2: Aftershocks,S.S. Wilson,United States,1-22-2023
Tremors 6: A Cold Day in Hell,,Don Michael Paul,United States,1-23-2023,,Tremors 6: A Cold Day in Hell,Don Michael Paul,United States,1-23-2023
Twin Peaks,,unknown,United States,1-24-2023,,Twin Peaks,Unknown,United States,1-24-2023
Under an Arctic Sky,,Chris Burkard,United States,1-25-2023,,Under an Arctic Sky,Chris Burkard,United States,1-25-2023
Yes or No,,Saratswadee Wongsomphet,United States,1-26-2023,,Yes or No,Saratswadee Wongsomphet,United States,1-26-2023
Zodiac,,David Fincher,United States,1-27-2023,,Zodiac,David Fincher,United States,1-27-2023
